DATFILE : bwopen0_2r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 T : 4506.0
CONFIGURATIONS :
1452.0 1452.0 
1463.0 1463.0 
1474.0 1474.0 
1484.0 1484.0 
1497.0 1497.0 
1507.0 1507.0 
1518.0 1518.0 
1529.0 1529.0 
1540.0 1540.0 
1551.0 1551.0 
1562.0 1562.0 
1572.0 1572.0 
1584.0 1584.0 
1594.0 1594.0 
1605.0 1605.0 
1616.0 1616.0 
1629.0 1629.0 
1640.0 1640.0 
1651.0 1651.0 
1662.0 1662.0 
1673.0 1673.0 
1683.0 1683.0 
1694.0 1694.0 
1704.0 1704.0 
1717.0 1717.0 
1727.0 1727.0 
1738.0 1738.0 
1748.0 1748.0 
1759.0 1759.0 
1770.0 1770.0 
1781.0 1781.0 
1792.0 1792.0 
1806.0 1806.0 
1817.0 1817.0 
1828.0 1828.0 
1838.0 1838.0 
1851.0 1851.0 
1866.0 1866.0 
1879.0 1879.0 
1889.0 1889.0 
1900.0 1900.0 
1911.0 1911.0 
1926.0 1926.0 
1937.0 1937.0 
1948.0 1948.0 
1958.0 1958.0 
1971.0 1971.0 
1991.0 1991.0 
2004.0 2004.0 
2014.0 2014.0 
2025.0 2025.0 
2036.0 2036.0 
2054.0 2054.0 
2070.0 2070.0 
2082.0 2082.0 
2094.0 2094.0 
2111.0 2111.0 
2129.0 2129.0 
2142.0 2142.0 
2153.0 2153.0 
2166.0 2166.0 
2177.0 2177.0 
2190.0 2190.0 
2202.0 2202.0 
2213.0 2213.0 
2226.0 2226.0 
2238.0 2238.0 
2250.0 2250.0 
2259.0 2259.0 
2270.0 2270.0 
2284.0 2284.0 
2302.0 2302.0 
2317.0 2317.0 
2332.0 2332.0 
2350.0 2350.0 
2363.0 2363.0 
2378.0 2378.0 
2393.0 2393.0 
2408.0 2408.0 
2422.0 2422.0 
2433.0 2433.0 
2446.0 2446.0 
2457.0 2457.0 
2470.0 2470.0 
2482.0 2482.0 
2493.0 2493.0 
2506.0 2506.0 
2518.0 2518.0 
2530.0 2530.0 
2539.0 2539.0 
2550.0 2550.0 
2564.0 2564.0 
2579.0 2579.0 
2593.0 2593.0 
2604.0 2604.0 
2613.0 2613.0 
2625.0 2625.0 
2637.0 2637.0 
2650.0 2650.0 
2661.0 2661.0 
2673.0 2673.0 
2686.0 2686.0 
2697.0 2697.0 
2710.0 2710.0 
2721.0 2721.0 
2734.0 2734.0 
2747.0 2747.0 
2759.0 2759.0 
2771.0 2771.0 
2787.0 2787.0 
2802.0 2802.0 
2814.0 2814.0 
2826.0 2826.0 
2841.0 2841.0 
2853.0 2853.0 
2865.0 2865.0 
2879.0 2879.0 
2890.0 2890.0 
2902.0 2902.0 
