DATFILE : bwopen0_3r_500.dat
48.0 506.0 524.0 
48.0 506.0 537.0 
48.0 506.0 548.0 
48.0 506.0 560.0 
48.0 506.0 573.0 
48.0 506.0 584.0 
48.0 506.0 597.0 
48.0 506.0 608.0 
48.0 506.0 621.0 
48.0 506.0 634.0 
48.0 506.0 646.0 
48.0 506.0 658.0 
48.0 520.0 658.0 
48.0 531.0 658.0 
48.0 531.0 670.0 
48.0 542.0 670.0 
48.0 542.0 682.0 
48.0 553.0 682.0 
48.0 566.0 682.0 
48.0 577.0 682.0 
48.0 577.0 695.0 
48.0 588.0 695.0 
48.0 601.0 695.0 
48.0 612.0 695.0 
63.0 612.0 695.0 
63.0 623.0 695.0 
63.0 636.0 695.0 
63.0 647.0 695.0 
63.0 647.0 708.0 
63.0 658.0 708.0 
63.0 658.0 719.0 
63.0 669.0 719.0 
63.0 669.0 732.0 
63.0 669.0 748.0 
82.0 669.0 748.0 
82.0 680.0 748.0 
82.0 693.0 748.0 
82.0 704.0 748.0 
82.0 717.0 748.0 
82.0 730.0 748.0 
82.0 742.0 748.0 
82.0 754.0 748.0 
82.0 754.0 763.0 
82.0 766.0 763.0 
82.0 778.0 763.0 
82.0 795.0 763.0 
82.0 795.0 776.0 
82.0 795.0 788.0 
82.0 795.0 800.0 
82.0 795.0 816.0 
82.0 812.0 816.0 
82.0 824.0 816.0 
82.0 836.0 816.0 
82.0 836.0 828.0 
82.0 836.0 840.0 
82.0 848.0 840.0 
82.0 860.0 853.0 
82.0 860.0 866.0 
82.0 860.0 877.0 
82.0 878.0 877.0 
82.0 878.0 888.0 
82.0 889.0 888.0 
82.0 889.0 899.0 
82.0 900.0 899.0 
82.0 910.0 899.0 
82.0 910.0 910.0 
82.0 920.0 910.0 
82.0 920.0 923.0 
82.0 930.0 923.0 
82.0 930.0 936.0 
82.0 940.0 936.0 
82.0 951.0 936.0 
82.0 962.0 936.0 
82.0 962.0 948.0 
82.0 973.0 948.0 
82.0 984.0 948.0 
82.0 994.0 948.0 
82.0 994.0 960.0 
82.0 1004.0 960.0 
82.0 1015.0 960.0 
82.0 1026.0 960.0 
82.0 1026.0 976.0 
82.0 1037.0 976.0 
82.0 1048.0 976.0 
82.0 1058.0 976.0 
82.0 1071.0 976.0 
82.0 1071.0 988.0 
82.0 1071.0 1000.0 
82.0 1071.0 1013.0 
82.0 1071.0 1026.0 
82.0 1071.0 1037.0 
82.0 1071.0 1050.0 
82.0 1071.0 1061.0 
82.0 1071.0 1074.0 
82.0 1071.0 1086.0 
82.0 1071.0 1097.0 
82.0 1071.0 1110.0 
82.0 1071.0 1122.0 
82.0 1071.0 1133.0 
82.0 1071.0 1142.0 
82.0 1071.0 1156.0 
82.0 1071.0 1170.0 
82.0 1071.0 1188.0 
82.0 1071.0 1203.0 
82.0 1084.0 1203.0 
82.0 1084.0 1218.0 
82.0 1094.0 1218.0 
82.0 1105.0 1218.0 
82.0 1116.0 1218.0 
82.0 1116.0 1233.0 
82.0 1127.0 1233.0 
82.0 1127.0 1251.0 
82.0 1138.0 1251.0 
101.0 1138.0 1251.0 
116.0 1138.0 1251.0 
134.0 1138.0 1251.0 
143.0 1138.0 1251.0 
154.0 1138.0 1251.0 
154.0 1138.0 1269.0 
165.0 1138.0 1269.0 
174.0 1138.0 1269.0 
188.0 1138.0 1269.0 
188.0 1138.0 1282.0 
202.0 1138.0 1295.0 
202.0 1156.0 1310.0 
202.0 1181.0 1310.0 
202.0 1181.0 1324.0 
202.0 1181.0 1335.0 
202.0 1181.0 1348.0 
202.0 1181.0 1359.0 
202.0 1181.0 1372.0 
215.0 1181.0 1372.0 
226.0 1181.0 1372.0 
226.0 1181.0 1385.0 
261.0 1181.0 1385.0 
274.0 1181.0 1385.0 
284.0 1181.0 1385.0 
294.0 1181.0 1398.0 
294.0 1181.0 1411.0 
304.0 1181.0 1411.0 
304.0 1181.0 1422.0 
314.0 1181.0 1422.0 
314.0 1200.0 1422.0 
335.0 1200.0 1422.0 
335.0 1200.0 1451.0 
346.0 1200.0 1451.0 
346.0 1200.0 1464.0 
346.0 1200.0 1474.0 
357.0 1200.0 1474.0 
357.0 1200.0 1484.0 
368.0 1200.0 1484.0 
368.0 1200.0 1497.0 
378.0 1200.0 1497.0 
378.0 1240.0 1497.0 
378.0 1254.0 1521.0 
399.0 1254.0 1566.0 
399.0 1281.0 1640.0 
399.0 1312.0 1658.0 
500.0 1366.0 1658.0 
;
EXECUTION TIME KUMAR3: 80.0117409229 seconds

-------------------------------------------------------------------
MAP: bwopen0_
DATE: 2017-10-25_12-18-47
