DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 T : 3433.0
CONFIGURATIONS :
2051.0 2051.0 
2060.0 2060.0 
2071.0 2071.0 
2088.0 2088.0 
2099.0 2099.0 
2108.0 2108.0 
2126.0 2126.0 
2141.0 2141.0 
2156.0 2156.0 
2173.0 2173.0 
2186.0 2186.0 
2199.0 2199.0 
2210.0 2210.0 
2223.0 2223.0 
2234.0 2234.0 
2247.0 2247.0 
2259.0 2259.0 
2270.0 2270.0 
2283.0 2283.0 
2295.0 2295.0 
2307.0 2307.0 
2316.0 2316.0 
2327.0 2327.0 
2341.0 2341.0 
2356.0 2356.0 
2370.0 2370.0 
2381.0 2381.0 
2390.0 2390.0 
2402.0 2402.0 
2414.0 2414.0 
2427.0 2427.0 
2440.0 2440.0 
2453.0 2453.0 
2464.0 2464.0 
2477.0 2477.0 
2488.0 2488.0 
2502.0 2502.0 
2517.0 2517.0 
2532.0 2532.0 
2547.0 2547.0 
2560.0 2560.0 
2572.0 2572.0 
2584.0 2584.0 
2599.0 2599.0 
2611.0 2611.0 
2623.0 2623.0 
2638.0 2638.0 
2650.0 2650.0 
2662.0 2662.0 
2676.0 2676.0 
2687.0 2687.0 
2699.0 2699.0 
2710.0 2710.0 
2722.0 2722.0 
2733.0 2733.0 
2746.0 2746.0 
2758.0 2758.0 
2770.0 2770.0 
2783.0 2783.0 
2795.0 2795.0 
2807.0 2807.0 
2819.0 2819.0 
2831.0 2831.0 
2843.0 2843.0 
2856.0 2856.0 
2869.0 2869.0 
2880.0 2880.0 
2893.0 2893.0 
2904.0 2904.0 
2915.0 2915.0 
2926.0 2926.0 
2939.0 2939.0 
2952.0 2952.0 
2963.0 2963.0 
2976.0 2976.0 
2989.0 2989.0 
3000.0 3000.0 
3012.0 3012.0 
3025.0 3025.0 
3036.0 3036.0 
3047.0 3047.0 
3058.0 3058.0 
3070.0 3070.0 
3081.0 3081.0 
3094.0 3094.0 
3107.0 3107.0 
3118.0 3118.0 
3130.0 3130.0 
3141.0 3141.0 
3152.0 3152.0 
3163.0 3163.0 
3176.0 3176.0 
3187.0 3187.0 
3199.0 3199.0 
3212.0 3212.0 
3223.0 3223.0 
3235.0 3235.0 
3246.0 3246.0 
3257.0 3257.0 
3266.0 3266.0 
3277.0 3277.0 
3286.0 3286.0 
3297.0 3297.0 
3308.0 3308.0 
3321.0 3321.0 
3332.0 3332.0 
3341.0 3341.0 
3353.0 3353.0 
3365.0 3365.0 
3376.0 3376.0 
3385.0 3385.0 
3396.0 3396.0 
3407.0 3407.0 
3416.0 3416.0 
3433.0 3433.0 
;
EXECUTION TIME KUMAR2: 27.9810640812 seconds

-------------------------------------------------------------------
MAP: bwopen0_
DATE: 2017-10-25_12-17-44
