DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500.
STARTING_POS : 0
N_ROBOTS : 2
GREEDY sumD : 3970.0
SECONDARY T : 3885.0
CONFIGURATIONS : 
110.0 176.0 
121.0 176.0 
130.0 176.0 
130.0 187.0 
139.0 187.0 
150.0 187.0 
150.0 198.0 
150.0 211.0 
150.0 222.0 
161.0 222.0 
170.0 222.0 
170.0 233.0 
179.0 233.0 
190.0 233.0 
190.0 244.0 
202.0 244.0 
202.0 255.0 
202.0 268.0 
202.0 279.0 
215.0 279.0 
215.0 290.0 
226.0 290.0 
226.0 301.0 
238.0 301.0 
238.0 312.0 
251.0 312.0 
251.0 325.0 
251.0 336.0 
262.0 336.0 
262.0 347.0 
278.0 347.0 
278.0 358.0 
278.0 371.0 
278.0 384.0 
278.0 396.0 
278.0 408.0 
292.0 408.0 
303.0 408.0 
303.0 420.0 
314.0 420.0 
314.0 432.0 
325.0 432.0 
338.0 432.0 
349.0 432.0 
362.0 432.0 
362.0 445.0 
374.0 445.0 
385.0 445.0 
398.0 445.0 
410.0 445.0 
421.0 445.0 
430.0 445.0 
430.0 458.0 
439.0 458.0 
450.0 458.0 
462.0 458.0 
474.0 458.0 
474.0 476.0 
486.0 476.0 
497.0 476.0 
506.0 476.0 
520.0 476.0 
534.0 476.0 
534.0 494.0 
534.0 507.0 
534.0 520.0 
534.0 534.0 
548.0 534.0 
559.0 534.0 
568.0 534.0 
580.0 534.0 
592.0 534.0 
605.0 534.0 
616.0 534.0 
628.0 534.0 
641.0 534.0 
652.0 534.0 
652.0 549.0 
663.0 549.0 
663.0 567.0 
674.0 567.0 
687.0 567.0 
698.0 567.0 
711.0 567.0 
724.0 567.0 
736.0 567.0 
748.0 567.0 
764.0 567.0 
764.0 584.0 
776.0 584.0 
788.0 584.0 
788.0 596.0 
788.0 608.0 
800.0 608.0 
800.0 626.0 
800.0 637.0 
800.0 648.0 
800.0 658.0 
812.0 658.0 
812.0 668.0 
812.0 679.0 
812.0 690.0 
828.0 690.0 
828.0 701.0 
828.0 712.0 
828.0 722.0 
828.0 735.0 
840.0 735.0 
852.0 735.0 
852.0 748.0 
852.0 758.0 
852.0 769.0 
852.0 780.0 
865.0 780.0 
865.0 791.0 
865.0 802.0 
865.0 812.0 
878.0 812.0 
878.0 822.0 
878.0 833.0 
878.0 844.0 
889.0 844.0 
889.0 855.0 
889.0 866.0 
889.0 876.0 
902.0 876.0 
902.0 886.0 
902.0 897.0 
918.0 897.0 
918.0 908.0 
933.0 908.0 
933.0 926.0 
933.0 938.0 
933.0 950.0 
948.0 950.0 
948.0 962.0 
948.0 974.0 
948.0 987.0 
948.0 1000.0 
948.0 1011.0 
948.0 1024.0 
948.0 1035.0 
948.0 1048.0 
948.0 1061.0 
948.0 1074.0 
948.0 1086.0 
948.0 1097.0 
948.0 1106.0 
948.0 1120.0 
948.0 1134.0 
963.0 1134.0 
963.0 1148.0 
963.0 1159.0 
963.0 1168.0 
963.0 1180.0 
963.0 1192.0 
963.0 1205.0 
963.0 1216.0 
963.0 1228.0 
963.0 1241.0 
963.0 1252.0 
963.0 1265.0 
963.0 1276.0 
963.0 1289.0 
963.0 1302.0 
963.0 1319.0 
978.0 1319.0 
996.0 1319.0 
1005.0 1319.0 
1016.0 1319.0 
1040.0 1319.0 
1040.0 1344.0 
1054.0 1344.0 
1065.0 1344.0 
1089.0 1344.0 
1089.0 1356.0 
