DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 sumD : 3498.0
CONFIGURATIONS :
1234.0 1065.0 
1244.0 1065.0 
1255.0 1065.0 
1266.0 1065.0 
1284.0 1065.0 
1300.0 1065.0 
1312.0 1065.0 
1324.0 1065.0 
1337.0 1065.0 
1356.0 1065.0 
1376.0 1065.0 
1391.0 1065.0 
1406.0 1065.0 
1420.0 1065.0 
1431.0 1065.0 
1444.0 1065.0 
1455.0 1065.0 
1468.0 1065.0 
1468.0 1082.0 
1468.0 1095.0 
1480.0 1095.0 
1491.0 1095.0 
1504.0 1095.0 
1516.0 1095.0 
1528.0 1095.0 
1537.0 1095.0 
1548.0 1095.0 
1548.0 1108.0 
1548.0 1119.0 
1559.0 1119.0 
1568.0 1119.0 
1568.0 1130.0 
1577.0 1130.0 
1588.0 1130.0 
1588.0 1141.0 
1600.0 1141.0 
1600.0 1152.0 
1613.0 1152.0 
1624.0 1152.0 
1624.0 1163.0 
1635.0 1163.0 
1648.0 1163.0 
1648.0 1174.0 
1661.0 1174.0 
1672.0 1174.0 
1672.0 1185.0 
1683.0 1185.0 
1683.0 1198.0 
1696.0 1198.0 
1696.0 1209.0 
1708.0 1209.0 
1708.0 1220.0 
1719.0 1220.0 
1719.0 1231.0 
1719.0 1244.0 
1730.0 1244.0 
1730.0 1257.0 
1730.0 1270.0 
1741.0 1270.0 
1741.0 1282.0 
1752.0 1282.0 
1752.0 1293.0 
1752.0 1302.0 
1763.0 1302.0 
1763.0 1311.0 
1763.0 1322.0 
1774.0 1322.0 
1786.0 1322.0 
1786.0 1333.0 
1786.0 1342.0 
1786.0 1354.0 
1786.0 1366.0 
1799.0 1366.0 
1810.0 1366.0 
1810.0 1378.0 
1810.0 1389.0 
1810.0 1398.0 
1821.0 1398.0 
1821.0 1407.0 
1821.0 1418.0 
1821.0 1430.0 
1832.0 1430.0 
1832.0 1444.0 
1848.0 1444.0 
1860.0 1444.0 
1871.0 1444.0 
1884.0 1444.0 
1884.0 1458.0 
1884.0 1470.0 
1884.0 1482.0 
1884.0 1491.0 
1896.0 1491.0 
1896.0 1500.0 
1907.0 1500.0 
1918.0 1500.0 
1918.0 1509.0 
1918.0 1520.0 
1932.0 1520.0 
1932.0 1532.0 
1932.0 1541.0 
1932.0 1552.0 
1932.0 1566.0 
;
EXECUTION TIME KUMAR2: 13.7837369442 seconds

-------------------------------------------------------------------
MAP: bwopen0_
DATE: 2017-10-25_12-18-26
