DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 1897.0
CONFIGURATIONS :
848.0 848.0 848.0 
865.0 865.0 865.0 
878.0 878.0 878.0 
901.0 901.0 901.0 
926.0 926.0 926.0 
944.0 944.0 944.0 
959.0 959.0 959.0 
990.0 990.0 990.0 
1007.0 1007.0 1007.0 
1057.0 1057.0 1057.0 
1083.0 1083.0 1083.0 
1104.0 1104.0 1104.0 
1142.0 1142.0 1142.0 
1161.0 1161.0 1161.0 
1183.0 1183.0 1183.0 
1201.0 1201.0 1201.0 
1228.0 1228.0 1228.0 
1239.0 1239.0 1239.0 
1256.0 1256.0 1256.0 
1272.0 1272.0 1272.0 
1283.0 1283.0 1283.0 
1308.0 1308.0 1308.0 
1333.0 1333.0 1333.0 
1344.0 1344.0 1344.0 
1354.0 1354.0 1354.0 
1378.0 1378.0 1378.0 
1398.0 1398.0 1398.0 
1411.0 1411.0 1411.0 
1423.0 1423.0 1423.0 
1438.0 1438.0 1438.0 
1455.0 1455.0 1455.0 
1469.0 1469.0 1469.0 
1482.0 1482.0 1482.0 
1499.0 1499.0 1499.0 
1517.0 1517.0 1517.0 
1553.0 1553.0 1553.0 
1567.0 1567.0 1567.0 
1584.0 1584.0 1584.0 
1602.0 1602.0 1602.0 
1617.0 1617.0 1617.0 
1667.0 1667.0 1667.0 
1687.0 1687.0 1680.0 
1707.0 1712.0 1712.0 
1725.0 1712.0 1725.0 
1742.0 1729.0 1742.0 
1759.0 1783.0 1783.0 
1816.0 1816.0 1805.0 
1866.0 1868.0 1897.0 
;
EXECUTION TIME KUMAR3: 33.0200350285 seconds

-------------------------------------------------------------------
DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / heuristic : 1897.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
26 8 22 
4 13 22 
26 13 5 
0 8 1 
0 13 27 
4 17 27 
22 25 27 
5 18 27 
26 14 27 
4 14 1 
26 18 1 
5 25 1 
5 14 2 
22 15 2 
26 10 2 
4 24 2 
0 6 2 
1 11 2 
1 24 6 
1 10 21 
1 15 3 
27 10 3 
27 15 21 
9 10 6 
9 15 24 
10 14 24 
15 14 6 
14 9 21 
15 10 7 
9 11 3 
24 11 21 
6 11 7 
21 6 3 
7 24 3 
12 9 7 
16 10 12 
23 15 12 
20 15 16 
20 10 23 
19 24 16 
19 6 12 
20 21 12 
23 21 16 
19 7 20 
18 6 20 
18 24 23 
25 24 20 
13 10 19 
17 15 19 
25 14 19 
18 9 19 
17 10 18 
