DATFILE : bwopen0_2r_250.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 250
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 T : 1263.0
CONFIGURATIONS :
0 0 
0 1 
4 1 
26 1 
5 1 
22 1 
5 27 
26 27 
22 9 
26 9 
5 9 
22 14 
8 25 
13 18 
17 18 
17 14 
13 14 
25 15 
18 14 
18 15 
14 10 
14 15 
18 10 
14 24 
15 10 
15 24 
10 24 
24 6 
24 21 
10 6 
15 11 
10 11 
24 11 
6 11 
21 11 
7 11 
12 11 
16 11 
20 11 
19 10 
19 15 
20 15 
19 14 
19 18 
20 19 
23 20 
16 20 
16 23 
12 23 
12 16 
7 12 
21 12 
6 7 
21 7 
3 7 
3 21 
21 6 
3 6 
3 2 
21 2 
6 2 
24 2 
2 27 
2 1 
27 1 
9 1 
9 27 
10 27 
24 27 
6 27 
6 9 
24 9 
10 9 
15 9 
14 9 
18 9 
25 14 
25 18 
13 25 
17 25 
13 17 
8 13 
8 17 
22 13 
4 8 
22 8 
26 8 
5 8 
26 22 
5 22 
5 26 
5 4 
26 4 
22 4 
22 0 
5 0 
26 0 
4 0 
0 0 
;

TIMETABLE : 
0 0 
18.0 18.0 
32.0 32.0 
43.0 43.0 
52.0 52.0 
64.0 64.0 
79.0 79.0 
88.0 88.0 
103.0 103.0 
114.0 114.0 
123.0 123.0 
139.0 139.0 
155.0 155.0 
168.0 168.0 
179.0 179.0 
190.0 190.0 
201.0 201.0 
214.0 214.0 
227.0 227.0 
240.0 240.0 
251.0 251.0 
262.0 262.0 
273.0 273.0 
286.0 286.0 
299.0 299.0 
312.0 312.0 
323.0 323.0 
336.0 336.0 
348.0 348.0 
361.0 361.0 
378.0 378.0 
389.0 389.0 
402.0 402.0 
415.0 415.0 
427.0 427.0 
439.0 439.0 
457.0 457.0 
468.0 468.0 
489.0 489.0 
510.0 510.0 
521.0 521.0 
534.0 534.0 
547.0 547.0 
558.0 558.0 
578.0 578.0 
591.0 591.0 
602.0 602.0 
612.0 612.0 
623.0 623.0 
634.0 634.0 
652.0 652.0 
664.0 664.0 
682.0 682.0 
694.0 694.0 
706.0 706.0 
718.0 718.0 
730.0 730.0 
742.0 742.0 
760.0 760.0 
772.0 772.0 
784.0 784.0 
797.0 797.0 
816.0 816.0 
831.0 831.0 
850.0 850.0 
865.0 865.0 
880.0 880.0 
894.0 894.0 
907.0 907.0 
920.0 920.0 
935.0 935.0 
948.0 948.0 
961.0 961.0 
972.0 972.0 
985.0 985.0 
996.0 996.0 
1012.0 1012.0 
1023.0 1023.0 
1036.0 1036.0 
1047.0 1047.0 
1059.0 1059.0 
1072.0 1072.0 
1083.0 1083.0 
1095.0 1095.0 
1108.0 1108.0 
1120.0 1120.0 
1131.0 1131.0 
1140.0 1140.0 
1152.0 1152.0 
1161.0 1161.0 
1172.0 1172.0 
1183.0 1183.0 
1192.0 1192.0 
1203.0 1203.0 
1217.0 1217.0 
1229.0 1229.0 
1238.0 1238.0 
1249.0 1249.0 
1263.0 1263.0 
;
EXECUTION TIME KUMAR2: 1.77909684181 seconds

-------------------------------------------------------------------
MAP: bwopen0_
DATE: 2017-10-25_12-16-20
