DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 2484.0
CONFIGURATIONS :
80.0 80.0 80.0 
98.0 98.0 98.0 
113.0 113.0 113.0 
127.0 127.0 127.0 
139.0 139.0 139.0 
152.0 152.0 152.0 
163.0 163.0 163.0 
178.0 178.0 178.0 
189.0 189.0 189.0 
202.0 202.0 202.0 
214.0 214.0 214.0 
234.0 234.0 234.0 
246.0 246.0 246.0 
259.0 259.0 259.0 
270.0 270.0 270.0 
287.0 287.0 287.0 
305.0 305.0 305.0 
317.0 317.0 317.0 
330.0 330.0 330.0 
344.0 344.0 344.0 
356.0 356.0 356.0 
368.0 368.0 368.0 
380.0 380.0 380.0 
393.0 393.0 393.0 
405.0 405.0 405.0 
417.0 417.0 417.0 
429.0 429.0 429.0 
442.0 442.0 442.0 
455.0 455.0 455.0 
468.0 468.0 468.0 
481.0 481.0 481.0 
494.0 494.0 494.0 
505.0 505.0 505.0 
518.0 518.0 518.0 
535.0 535.0 535.0 
547.0 547.0 547.0 
560.0 560.0 560.0 
575.0 575.0 575.0 
599.0 599.0 599.0 
617.0 617.0 617.0 
630.0 630.0 630.0 
643.0 643.0 643.0 
657.0 657.0 657.0 
668.0 668.0 668.0 
680.0 680.0 680.0 
691.0 691.0 691.0 
722.0 722.0 722.0 
737.0 737.0 737.0 
749.0 749.0 749.0 
761.0 761.0 761.0 
774.0 774.0 774.0 
790.0 790.0 790.0 
808.0 808.0 808.0 
823.0 823.0 823.0 
838.0 838.0 838.0 
853.0 853.0 853.0 
870.0 870.0 870.0 
886.0 886.0 886.0 
904.0 904.0 904.0 
916.0 916.0 916.0 
931.0 931.0 931.0 
944.0 944.0 944.0 
957.0 957.0 957.0 
970.0 970.0 970.0 
981.0 981.0 981.0 
992.0 992.0 992.0 
1005.0 1005.0 1005.0 
1025.0 1025.0 1025.0 
1040.0 1040.0 1040.0 
1053.0 1053.0 1053.0 
1070.0 1070.0 1070.0 
1083.0 1083.0 1083.0 
1102.0 1102.0 1102.0 
1115.0 1115.0 1115.0 
1126.0 1126.0 1126.0 
1142.0 1142.0 1142.0 
1169.0 1169.0 1169.0 
1195.0 1195.0 1195.0 
1208.0 1208.0 1208.0 
1220.0 1220.0 1220.0 
1247.0 1247.0 1247.0 
1274.0 1274.0 1274.0 
1287.0 1287.0 1287.0 
1318.0 1318.0 1318.0 
1339.0 1339.0 1339.0 
1354.0 1354.0 1354.0 
1373.0 1373.0 1373.0 
1400.0 1400.0 1400.0 
1427.0 1427.0 1427.0 
1441.0 1441.0 1441.0 
1466.0 1466.0 1466.0 
1496.0 1496.0 1496.0 
1518.0 1518.0 1518.0 
1561.0 1561.0 1561.0 
1593.0 1593.0 1593.0 
1615.0 1615.0 1615.0 
1638.0 1638.0 1638.0 
1673.0 1673.0 1673.0 
1691.0 1691.0 1691.0 
1722.0 1722.0 1722.0 
1735.0 1735.0 1735.0 
1747.0 1747.0 1747.0 
1758.0 1758.0 1758.0 
1770.0 1770.0 1770.0 
1783.0 1783.0 1783.0 
1796.0 1796.0 1796.0 
1807.0 1807.0 1807.0 
1820.0 1820.0 1820.0 
1845.0 1845.0 1845.0 
1866.0 1866.0 1866.0 
1891.0 1891.0 1891.0 
1904.0 1904.0 1904.0 
1916.0 1916.0 1916.0 
1927.0 1927.0 1927.0 
1936.0 1936.0 1936.0 
1957.0 1957.0 1957.0 
1978.0 1978.0 1978.0 
1992.0 1992.0 1992.0 
2007.0 2007.0 2007.0 
2029.0 2029.0 2029.0 
2043.0 2043.0 2043.0 
2064.0 2064.0 2064.0 
2079.0 2079.0 2079.0 
2110.0 2110.0 2110.0 
2155.0 2155.0 2155.0 
2181.0 2181.0 2181.0 
2205.0 2205.0 2205.0 
2242.0 2242.0 2242.0 
2260.0 2260.0 2260.0 
2278.0 2277.0 2278.0 
2314.0 2314.0 2314.0 
2335.0 2335.0 2334.0 
2352.0 2367.0 2367.0 
2378.0 2367.0 2378.0 
2404.0 2400.0 2484.0 
;
EXECUTION TIME KUMAR3: 52.3632700443 seconds

-------------------------------------------------------------------
DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / heuristic : 2484.0
