DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 4664.0
CONFIGURATIONS :
100.0 108.0 108.0 
111.0 120.0 108.0 
122.0 120.0 120.0 
122.0 133.0 131.0 
133.0 133.0 140.0 
133.0 144.0 149.0 
144.0 144.0 158.0 
157.0 144.0 170.0 
157.0 155.0 182.0 
170.0 166.0 182.0 
170.0 177.0 194.0 
182.0 177.0 206.0 
194.0 188.0 206.0 
194.0 199.0 219.0 
206.0 210.0 219.0 
218.0 210.0 230.0 
218.0 221.0 242.0 
236.0 232.0 242.0 
236.0 243.0 254.0 
247.0 256.0 254.0 
258.0 256.0 265.0 
268.0 268.0 265.0 
278.0 268.0 292.0 
288.0 280.0 292.0 
288.0 293.0 306.0 
298.0 304.0 306.0 
309.0 317.0 306.0 
320.0 328.0 306.0 
331.0 328.0 320.0 
342.0 339.0 320.0 
360.0 339.0 332.0 
360.0 350.0 351.0 
360.0 363.0 364.0 
360.0 378.0 378.0 
372.0 378.0 389.0 
384.0 378.0 398.0 
384.0 393.0 407.0 
396.0 393.0 416.0 
408.0 406.0 416.0 
408.0 423.0 425.0 
420.0 423.0 436.0 
432.0 423.0 448.0 
454.0 423.0 460.0 
454.0 440.0 469.0 
454.0 452.0 480.0 
454.0 464.0 492.0 
454.0 480.0 506.0 
472.0 492.0 506.0 
472.0 504.0 524.0 
484.0 504.0 539.0 
484.0 520.0 554.0 
503.0 538.0 554.0 
503.0 549.0 569.0 
503.0 560.0 584.0 
503.0 570.0 598.0 
503.0 583.0 609.0 
520.0 583.0 620.0 
520.0 596.0 631.0 
532.0 606.0 631.0 
544.0 606.0 642.0 
566.0 606.0 655.0 
566.0 616.0 670.0 
566.0 629.0 685.0 
585.0 642.0 685.0 
598.0 652.0 685.0 
598.0 663.0 700.0 
611.0 674.0 700.0 
611.0 685.0 728.0 
648.0 696.0 728.0 
660.0 706.0 728.0 
673.0 719.0 728.0 
684.0 719.0 746.0 
695.0 749.0 746.0 
708.0 767.0 746.0 
721.0 782.0 764.0 
732.0 782.0 779.0 
745.0 796.0 779.0 
745.0 828.0 794.0 
763.0 828.0 836.0 
780.0 847.0 849.0 
780.0 860.0 879.0 
791.0 860.0 897.0 
791.0 898.0 916.0 
804.0 909.0 916.0 
804.0 920.0 934.0 
816.0 920.0 969.0 
827.0 920.0 1019.0 
836.0 931.0 1019.0 
845.0 931.0 1032.0 
854.0 942.0 1032.0 
866.0 987.0 1032.0 
878.0 987.0 1042.0 
917.0 1021.0 1042.0 
950.0 1048.0 1042.0 
971.0 1048.0 1064.0 
1005.0 1064.0 1082.0 
1005.0 1076.0 1160.0 
1055.0 1120.0 1200.0 
1055.0 1138.0 1214.0 
1070.0 1138.0 1240.0 
1098.0 1138.0 1256.0 
1138.0 1138.0 1269.0 
1150.0 1156.0 1280.0 
1175.0 1176.0 1280.0 
1188.0 1176.0 1314.0 
1200.0 1176.0 1326.0 
1212.0 1195.0 1337.0 
1237.0 1195.0 1363.0 
1237.0 1221.0 1374.0 
1267.0 1221.0 1374.0 
1267.0 1236.0 1385.0 
1298.0 1236.0 1403.0 
1319.0 1268.0 1426.0 
1350.0 1292.0 1426.0 
1350.0 1340.0 1442.0 
1350.0 1361.0 1442.0 
1362.0 1361.0 1467.0 
1362.0 1372.0 1526.0 
1374.0 1372.0 1536.0 
1433.0 1446.0 1536.0 
1444.0 1446.0 1547.0 
1456.0 1446.0 1581.0 
1483.0 1446.0 1605.0 
1522.0 1470.0 1672.0 
;
EXECUTION TIME KUMAR3: 51.8878409863 seconds

-------------------------------------------------------------------
DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 sumD / heuristic : 4664.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
22 8 26 
22 13 4 
5 13 26 
1 17 26 
1 25 5 
27 25 26 
27 17 5 
9 17 22 
9 13 8 
10 17 8 
15 25 8 
10 25 22 
10 18 26 
15 18 5 
15 14 26 
10 14 5 
24 14 22 
24 18 4 
6 14 4 
6 18 22 
21 18 8 
3 14 8 
3 18 13 
21 14 13 
7 14 17 
7 18 25 
12 14 25 
12 18 17 
16 25 17 
23 25 13 
20 17 13 
23 17 4 
20 25 4 
20 18 0 
23 14 0 
16 15 0 
12 10 0 
16 10 4 
12 15 4 
7 15 22 
7 10 13 
7 24 8 
7 9 4 
21 9 26 
3 9 5 
3 24 26 
21 24 5 
7 6 5 
7 11 26 
21 11 4 
3 11 22 
2 11 5 
2 6 26 
2 21 22 
2 3 4 
2 7 0 
6 21 0 
6 3 1 
21 3 27 
21 7 1 
11 12 1 
11 16 27 
11 23 9 
11 20 10 
11 19 15 
6 19 10 
6 20 15 
21 23 15 
3 23 10 
2 23 24 
2 20 9 
2 19 27 
24 20 27 
6 23 27 
6 16 9 
24 12 9 
24 16 1 
22 23 1 
8 20 1 
13 19 1 
17 19 0 
13 11 0 
25 24 0 
18 9 1 
14 9 27 
15 10 27 
15 2 1 
18 2 14 
17 24 15 
17 6 11 
13 6 24 
13 12 2 
8 16 2 
8 12 6 
22 12 27 
26 12 19 
5 16 19 
26 16 20 
5 12 20 
22 19 20 
8 19 23 
18 16 23 
20 7 23 
16 7 12 
19 3 7 
19 21 25 
27 1 4 
27 0 8 
9 0 25 
1 0 14 
3 0 15 
21 1 10 
24 2 10 
6 2 25 
21 2 17 
7 27 13 
11 27 18 
11 24 14 
19 24 14 
19 9 18 
10 9 15 
11 8 25 
3 17 25 
3 20 14 
3 16 14 
21 16 13 
21 12 20 
3 12 23 
26 5 23 
22 5 16 
4 5 19 
13 5 15 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
0 1 1 
1 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
1 1 1 
1 1 0 
1 0 1 
